Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Matches
Emre Çolak,tr TUR,MF,Başakşehir,30,1991,1.2,0,0,0,2,4,0,4,2,2,,,0,Matches
Kamil Çörekçi,tr TUR,DF,Hatayspor,29,1992,28.0,4,0,0,26,19,0,85,41,47,,,0,Matches
Andreas Cornelius,dk DEN,FW,Trabzonspor,28,1993,26.9,1,0,0,49,45,16,4,4,4,,,0,Matches
Göktan Cörüt,,GK,Giresunspor,21,2000,0.4,0,0,0,0,1,0,0,0,0,,,0,Matches
Crespo,pt POR,MF,Fenerbahçe,24,1996,18.6,5,0,0,46,48,1,18,37,44,,,0,Matches
Enzo Crivelli,fr FRA,FW,Antalyaspor,26,1995,5.0,3,0,0,14,8,4,0,2,5,,,0,Matches
Bryan Dabo,bf BFA,"MF,FW",Rizespor,29,1992,9.6,3,0,0,22,27,0,6,10,7,,,0,Matches
Erdon Daci,mk MKD,FW,Konyaspor,23,1998,0.1,0,0,0,3,0,0,0,0,0,,,0,Matches
Abdulsamed Damlu,tr TUR,GK,Yeni Mal'spor,22,1999,7.9,0,0,0,0,2,0,0,1,1,,,0,Matches
Sergio Antonio De Luiz Junior,br BRA,MF,Giresunspor,26,1995,30.4,5,0,0,44,62,19,75,28,36,,,0,Matches
Simon Deli,ci CIV,DF,Adana Demirspor,29,1991,15.5,2,0,0,15,1,0,2,33,13,,,1,Matches
Emre Demir,tr TUR,MF,Kayserispor,17,2004,0.3,1,0,0,1,0,0,1,0,0,,,0,Matches
Muhammet Demir,tr TUR,FW,Gaziantep FK,29,1992,27.2,2,0,0,27,28,10,3,11,12,,,0,Matches
Muhammet Demir,tr TUR,FW,Başakşehir,29,1992,0.9,0,0,0,1,1,2,0,0,0,,,0,Matches
Adil Demirbağ,tr TUR,DF,Konyaspor,23,1997,18.0,5,0,0,26,17,1,1,18,20,,,0,Matches
Bahattin Demircan,,MF,Fatih Karagümrük,18,2002,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
Uğur Demirok,tr TUR,DF,Kayserispor,33,1988,16.1,4,0,0,9,8,1,0,16,11,,,0,Matches
Kahraman Demirtapa,tr TUR,DF,Göztepe,27,1994,17.9,3,0,0,21,10,0,10,30,18,,,1,Matches
Stefano Denswil,sr SUR,DF,Trabzonspor,28,1993,21.6,3,0,0,27,8,0,7,24,15,,,0,Matches
Halil Dervişoğlu,tr TUR,"FW,MF",Galatasaray,21,1999,15.7,2,0,0,18,24,2,11,5,15,,,0,Matches
Ersin Destanoğlu,tr TUR,GK,Beşiktaş,20,2001,31.0,6,0,0,0,3,0,0,0,0,,,0,Matches
