nation_rank,nation_prev_rank,nation,confederation,points,season
76,78,Israel,UEFA,1316,2021_2022
77,61,Uzbekistan,AFC,1307,2021_2022
78,87,China,AFC,1305,2021_2022
79,83,Gabon,CAF,1302,2021_2022
80,79,Honduras,CONCACAF,1300,2021_2022
81,89,Bolivia,CONMEBOL,1299,2021_2022
82,70,Georgia,UEFA,1296,2021_2022
83,77,Guinea,CAF,1295,2021_2022
84,86,Curaçao,CONCACAF,1293,2021_2022
85,80,Bahrain,AFC,1289,2021_2022
86,68,Jordan,AFC,1280,2021_2022
87,92,Zambia,CAF,1271,2021_2022
88,85,Haiti,CONCACAF,1269,2021_2022
89,93,Syria,AFC,1265,2021_2022
90,95,Uganda,CAF,1265,2021_2022
91,91,Benin,CAF,1259,2021_2022
92,97,Armenia,UEFA,1242,2021_2022
93,84,Luxembourg,UEFA,1235,2021_2022
94,96,Palestine,AFC,1234,2021_2022
95,102,Kyrgyzstan,AFC,1233,2021_2022
96,99,Belarus,UEFA,1227,2021_2022
97,115,Vietnam,AFC,1219,2021_2022
98,88,Equatorial Guinea,CAF,1215,2021_2022
99,118,Republic of the Congo,CAF,1215,2021_2022
100,116,Lebanon,AFC,1212,2021_2022
101,100,Trinidad and Tobago,CONCACAF,1206,2021_2022
102,108,Kenya,CAF,1202,2021_2022
103,94,New Zealand,OFC,1199,2021_2022
104,124,India,AFC,1199,2021_2022
105,105,Madagascar,CAF,1194,2021_2022
106,106,Kosovo,UEFA,1184,2021_2022
107,112,Mauritania,CAF,1182,2021_2022
108,127,Cyprus,UEFA,1181,2021_2022
109,103,Tajikistan,AFC,1179,2021_2022
110,123,Estonia,UEFA,1177,2021_2022
111,101,Thailand,AFC,1171,2021_2022
112,110,North Korea,AFC,1170,2021_2022
113,122,Sierra Leone,CAF,1170,2021_2022
114,109,Kazakhstan,UEFA,1166,2021_2022
115,114,Guinea-Bissau,CAF,1166,2021_2022
116,104,Mozambique,CAF,1165,2021_2022
117,98,Namibia,CAF,1164,2021_2022
118,107,Guatemala,CONCACAF,1162,2021_2022
119,125,Niger,CAF,1155,2021_2022
120,90,Angola,CAF,1149,2021_2022
121,117,Libya,CAF,1148,2021_2022
122,126,Malawi,CAF,1145,2021_2022
123,129,Zimbabwe,CAF,1139,2021_2022
124,132,Gambia,CAF,1137,2021_2022
125,138,Faroe Islands,UEFA,1136,2021_2022
126,120,Togo,CAF,1130,2021_2022
127,119,Comoros,CAF,1127,2021_2022
128,111,Azerbaijan,UEFA,1127,2021_2022
129,137,Latvia,UEFA,1125,2021_2022
130,121,Sudan,CAF,1125,2021_2022
131,113,Tanzania,CAF,1122,2021_2022
132,148,Antigua and Barbuda,CONCACAF,1117,2021_2022
133,128,Central African Republic,CAF,1116,2021_2022
134,147,Philippines,AFC,1115,2021_2022
135,144,Turkmenistan,AFC,1100,2021_2022
136,131,Rwanda,CAF,1095,2021_2022
137,141,Solomon Islands,OFC,1093,2021_2022
138,143,Ethiopia,CAF,1088,2021_2022
139,130,Nicaragua,CONCACAF,1079,2021_2022
140,146,Saint Kitts and Nevis,CONCACAF,1077,2021_2022
141,139,Burundi,CAF,1076,2021_2022
142,135,Lithuania,UEFA,1074,2021_2022
143,140,Suriname,CONCACAF,1072,2021_2022
144,155,Eswatini,CAF,1071,2021_2022
145,149,Lesotho,CAF,1061,2021_2022
146,145,Botswana,CAF,1060,2021_2022
147,159,Hong Kong,AFC,1058,2021_2022
148,134,Malaysia,AFC,1058,2021_2022
149,136,Kuwait,AFC,1053,2021_2022
150,142,Liberia,CAF,1051,2021_2022
151,150,Dominican Republic,CONCACAF,1032,2021_2022
152,164,Andorra,UEFA,1029,2021_2022
153,156,Yemen,AFC,1024,2021_2022
154,151,Afghanistan,AFC,1023,2021_2022
155,133,Indonesia,AFC,1019,2021_2022
156,163,Maldives,AFC,1018,2021_2022
157,165,Chinese Taipei,AFC,1018,2021_2022
158,166,Myanmar,AFC,1012,2021_2022
159,161,Singapore,AFC,1005,2021_2022
160,160,New Caledonia,OFC,1000,2021_2022
161,168,Papua New Guinea,OFC,998,2021_2022
162,158,Tahiti,OFC,995,2021_2022
163,153,Fiji,OFC,993,2021_2022
164,162,Vanuatu,OFC,991,2021_2022
165,169,South Sudan,CAF,984,2021_2022
166,177,Barbados,CONCACAF,982,2021_2022
